"RefDes";"Name";"Pattern";"Center X (mil)";"Center Y (mil)";"Side";"Rotation";"Value"
"J_PAN";"EURO_JACKS_SILK (EURO_JACK)";"Thonkiconn";"2275.7";"1543.7";"Bottom";"90.0";"Eurorack Jack"
"J_PITCH";"EURO_JACKS_SILK (EURO_JACK)";"Thonkiconn";"1778.7";"665.7";"Bottom";"180.0";"Eurorack Jack"
"J_POSI";"EURO_JACKS_SILK (EURO_JACK)";"Thonkiconn";"2578.7";"1096.7";"Bottom";"0.0";"Eurorack Jack"
"J_RIN";"EURO_JACKS_SILK (EURO_JACK)";"Thonkiconn";"2978.7";"665.7";"Bottom";"180.0";"Eurorack Jack"
"J_ROUT";"EURO_JACKS_SILK (EURO_JACK)";"Thonkiconn";"578.7";"665.7";"Bottom";"180.0";"Eurorack Jack"
"J_SIZE";"EURO_JACKS_SILK (EURO_JACK)";"Thonkiconn";"1778.7";"1096.7";"Bottom";"0.0";"Eurorack Jack"
"J_TEXT";"EURO_JACKS_SILK (EURO_JACK)";"Thonkiconn";"1378.7";"1096.7";"Bottom";"0.0";"Eurorack Jack"
"J_TRIG";"EURO_JACKS_SMALL_SILK (EURO_JACK)";"Thonkiconn";"978.7";"1096.7";"Bottom";"0.0";"Eurorack Jack"
"J_VERB";"EURO_JACKS_SILK (EURO_JACK)";"Thonkiconn";"1175.7";"1543.7";"Bottom";"90.0";"Eurorack Jack"
"J_VOCT";"EURO_JACKS_SILK (EURO_JACK)";"Thonkiconn";"2178.7";"665.7";"Bottom";"180.0";"Eurorack Jack"
"JP1";"M04PTH";"1X04";"733.66";"4654.66";"Bottom";"0.0";""
"LED_A";"LED_SILK (LED)";"LED_SILK";"3378.7";"2693.7";"Bottom";"180.0";"3mm Yellow Diffused"
"LED_B";"LED_SILK (LED)";"LED_SILK";"3378.7";"2493.7";"Bottom";"180.0";"3mm Yellow Diffused"
"LED_C";"LED_SILK (LED)";"LED_SILK";"3378.7";"2293.7";"Bottom";"180.0";"3mm Yellow Diffused"
"LED_D";"LED_SILK (LED)";"LED_SILK";"3378.7";"2093.7";"Bottom";"180.0";"3mm Yellow Diffused"
"LED_IN1";"LED_SILK (LED)";"LED_SILK";"2316.2";"4618.7";"Bottom";"0.0";"3mm Green Diffused"
"LED_IN2";"LED_SILK (LED)";"LED_SILK";"2091.2";"4618.7";"Bottom";"0.0";"3mm Green Diffused"
"LED_IN3";"LED_SILK (LED)";"LED_SILK";"1866.2";"4618.7";"Bottom";"0.0";"3mm Yellow Diffused"
"LED_IN4";"LED_SILK (LED)";"LED_SILK";"1641.2";"4618.7";"Bottom";"0.0";"3mm Red Diffused"
"LED_OUT1";"LED_SILK (LED)";"LED_SILK";"2316.2";"4443.7";"Bottom";"0.0";"3mm Green Diffused"
"LED_OUT2";"LED_SILK (LED)";"LED_SILK";"2091.2";"4443.7";"Bottom";"0.0";"3mm Green Diffused"
"LED_OUT3";"LED_SILK (LED)";"LED_SILK";"1866.2";"4443.7";"Bottom";"0.0";"3mm Yellow Diffused"
"LED_OUT4";"LED_SILK (LED)";"LED_SILK";"1641.2";"4443.7";"Bottom";"0.0";"3mm Red Diffused"
"LED_T1";"LED_SILK (LED)";"LED_SILK";"578.7";"2693.7";"Bottom";"180.0";"3mm Yellow Diffused"
"LED_T2";"LED_SILK (LED)";"LED_SILK";"578.7";"2493.7";"Bottom";"180.0";"3mm Yellow Diffused"
"LED_T3";"LED_SILK (LED)";"LED_SILK";"578.7";"2293.7";"Bottom";"180.0";"3mm Yellow Diffused"
"LED_T4";"LED_SILK (LED)";"LED_SILK";"578.7";"2093.7";"Bottom";"180.0";"3mm Yellow Diffused"
"P1";"M05X2PTH";"AVR_ICSP";"770.71";"4093.91";"Top";"270.0";"M05X2PTH"
"P2";"M05X2MINIJTAG (M05X2)";"2X5-1.27";"1065.15";"4548.88";"Top";"0.0";"Mini JTAG Header"
"Q1";"TXC 7A crystal";"TSC 7A crystal";"2591.01";"4068.7";"Top";"180.0";"12.288MHz"
"Q2";"TXC 7A crystal";"TSC 7A crystal";"1530.5";"3218.7";"Top";"180.0";"8MHz"
"Q3";"-NPN-MMBT3904LT1SOT23-BEC (*-NPN-)";"SOT23-BEC";"783.96";"1808.19";"Top";"0.0";"MMBT3904"
"Q4";"-NPN-MMBT3904LT1SOT23-BEC (*-NPN-)";"SOT23-BEC";"940.08";"1806.55";"Top";"0.0";"MMBT3904"
"R1";"R-US_R0603 (R-US_)";"RES_0603";"1573.45";"4355.86";"Top";"180.0";"100R"
"R2";"R-US_R0603 (R-US_)";"RES_0603";"1704.13";"4355.86";"Top";"180.0";"100R"
"R3";"R-US_R0603 (R-US_)";"RES_0603";"1837.95";"4355.86";"Top";"180.0";"1K"
"R4";"R-US_R0603 (R-US_)";"RES_0603";"1970.86";"4355.86";"Top";"0.0";"1K"
"R5";"R-US_R0603 (R-US_)";"RES_0603";"2103.14";"4355.86";"Top";"0.0";"1K"
"R6";"R-US_R0603 (R-US_)";"RES_0603";"2239.91";"4355.86";"Top";"0.0";"1K"
"R7";"R-US_R0603 (R-US_)";"RES_0603";"2341.86";"4342.02";"Top";"270.0";"100R"
"R8";"R-US_R0603 (R-US_)";"RES_0603";"2403.7";"4342.02";"Top";"270.0";"100R"
"R9";"R-US_R0603 (R-US_)";"RES_0603";"2027.25";"3885.63";"Top";"0.0";"2K"
"R10";"R-US_R0603 (R-US_)";"RES_0603";"3492.66";"3856.2";"Top";"0.0";"10K"
"R11";"R-US_R0603 (R-US_)";"RES_0603";"2031.29";"3797.63";"Top";"0.0";"2K"
"R12";"R-US_R0603 (R-US_)";"RES_0603";"3492.35";"3668.7";"Top";"180.0";"5K1"
"R13";"R-US_R0603 (R-US_)";"RES_0603";"2837.16";"3658.1";"Top";"0.0";"10K"
"R14";"R-US_R0603 (R-US_)";"RES_0603";"1167.26";"3621.23";"Top";"90.0";"10K"
"R15";"R-US_R0603 (R-US_)";"RES_0603";"2991.2";"3618.7";"Top";"0.0";"5K1"
"R16";"R-US_R0603 (R-US_)";"RES_0603";"3492.44";"3593.7";"Top";"0.0";"10K"
"R17";"R-US_R0603 (R-US_)";"RES_0603";"3041.2";"3506.2";"Top";"180.0";"10K"
"R18";"R-US_R0603 (R-US_)";"RES_0603";"2703.7";"3268.7";"Top";"180.0";"22K"
"R19";"R-US_R0603 (R-US_)";"RES_0603";"2303.7";"3256.2";"Top";"180.0";"510R"
"R20";"R-US_R0603 (R-US_)";"RES_0603";"3249.66";"3231.2";"Top";"0.0";"22K"
"R21";"R-US_R0603 (R-US_)";"RES_0603";"1899.66";"3168.7";"Top";"0.0";"10K"
"R22";"R-US_R0603 (R-US_)";"RES_0603";"2703.7";"3188.44";"Top";"0.0";"510R"
"R23";"R-US_R0603 (R-US_)";"RES_0603";"487.16";"3118.7";"Top";"180.0";"510R"
"R24";"R-US_R0603 (R-US_)";"RES_0603";"2703.7";"3108.18";"Top";"180.0";"1M"
"R25";"R-US_R0603 (R-US_)";"RES_0603";"2053.7";"3037.14";"Top";"180.0";"39K"
"R26";"R-US_R0603 (R-US_)";"RES_0603";"3178.7";"3006.2";"Top";"0.0";"510R"
"R27";"R-US_R0603 (R-US_)";"RES_0603";"2541.2";"2997.74";"Top";"180.0";"510R"
"R28";"R-US_R0603 (R-US_)";"RES_0603";"2703.7";"3027.92";"Top";"180.0";"49K9"
"R29";"R-US_R0603 (R-US_)";"RES_0603";"2053.7";"2949.64";"Top";"0.0";"22K"
"R30";"R-US_R0603 (R-US_)";"RES_0603";"3178.7";"2918.7";"Top";"180.0";"22K"
"R31";"R-US_R0603 (R-US_)";"RES_0603";"2541.2";"2906.2";"Top";"0.0";"39K"
"R32";"R-US_R0603 (R-US_)";"RES_0603";"2053.7";"2862.14";"Top";"180.0";"510R"
"R33";"R-US_R0603 (R-US_)";"RES_0603";"3178.7";"2831.2";"Top";"180.0";"510R"
"R34";"R-US_R0603 (R-US_)";"RES_0603";"2541.2";"2818.7";"Top";"180.0";"22K"
"R35";"R-US_R0603 (R-US_)";"RES_0603";"2703.7";"2867.4";"Top";"0.0";"510R"
"R36";"R-US_R0603 (R-US_)";"RES_0603";"3178.7";"2743.7";"Top";"0.0";"49K9"
"R37";"R-US_R0603 (R-US_)";"RES_0603";"2541.2";"2731.2";"Top";"180.0";"510R"
"R38";"R-US_R0603 (R-US_)";"RES_0603";"2703.7";"2787.14";"Top";"180.0";"100K"
"R39";"R-US_R0603 (R-US_)";"RES_0603";"753.7";"2643.7";"Top";"0.0";"1K"
"R40";"R-US_R0603 (R-US_)";"RES_0603";"2703.7";"2706.87";"Top";"180.0";"100K"
"R41";"R-US_R0603 (R-US_)";"RES_0603";"3178.7";"2643.7";"Top";"0.0";"1M"
"R42";"R-US_R0603 (R-US_)";"RES_0603";"753.7";"2568.7";"Top";"0.0";"1K"
"R43";"R-US_R0603 (R-US_)";"RES_0603";"3178.7";"2556.2";"Top";"0.0";"100K"
"R44";"R-US_R0603 (R-US_)";"RES_0603";"753.7";"2493.7";"Top";"0.0";"1K"
"R45";"R-US_R0603 (R-US_)";"RES_0603";"3178.7";"2468.7";"Top";"180.0";"100K"
"R46";"R-US_R0603 (R-US_)";"RES_0603";"753.7";"2418.7";"Top";"0.0";"1K"
"R47";"R-US_R0603 (R-US_)";"RES_0603";"753.7";"2331.2";"Top";"0.0";"1K"
